number_id,date_time,epoch,loss_train,loss_validate,maps_train,maps_validate
8,2021-01-14 02:19:17.882545,78,2.6056869607563167,4.637436139119136,"[0.4404882788658142, 0.4099963307380676, 0.37533408403396606, 0.33233004808425903, 0.27713343501091003, 0.21172372996807098, 0.139637291431427, 0.06713922321796417, 0.01552608422935009, 0.00048311249702237546]","[0.26191839575767517, 0.23199526965618134, 0.20031607151031494, 0.15654073655605316, 0.1158568263053894, 0.07684306800365448, 0.0450749434530735, 0.019049186259508133, 0.0036957096308469772, 0.00014333214494399726]"
29,2021-01-14 02:22:42.973244,31,2.696401383911354,4.799821887697492,"[0.3339504301548004, 0.308178573846817, 0.2776572108268738, 0.24096420407295227, 0.19327285885810852, 0.140901118516922, 0.08532271534204483, 0.03494912385940552, 0.006376052740961313, 0.0001903189258882776]","[0.2166178673505783, 0.18950316309928894, 0.15988236665725708, 0.12794670462608337, 0.09766031801700592, 0.06551452726125717, 0.037627048790454865, 0.01369612105190754, 0.0019519031047821045, 1.7423082681489177e-05]"
27,2021-01-14 02:23:49.069754,38,2.894736441321995,4.968388873261291,"[0.310038298368454, 0.2835043668746948, 0.2522949278354645, 0.21715417504310608, 0.17594294250011444, 0.1284697949886322, 0.07999654114246368, 0.034684889018535614, 0.0076376996003091335, 0.00025996629847213626]","[0.20320236682891846, 0.17897255718708038, 0.1508137285709381, 0.12222149223089218, 0.09340018779039383, 0.06392132490873337, 0.03568565472960472, 0.015512381680309772, 0.0031140646897256374, 8.409922884311527e-05]"
8,2021-01-14 02:27:16.865363,79,2.635484975437785,4.6781436251355455,"[0.43827128410339355, 0.40849003195762634, 0.3703334331512451, 0.32577404379844666, 0.269357830286026, 0.20411129295825958, 0.1312178075313568, 0.06342817842960358, 0.015416054055094719, 0.0005965157179161906]","[0.2513304352760315, 0.2225486934185028, 0.18706639111042023, 0.14677825570106506, 0.11144249141216278, 0.0747130960226059, 0.043182648718357086, 0.01749419793486595, 0.0033143418841063976, 6.417736585717648e-05]"
29,2021-01-14 02:34:19.718890,32,2.694108194199161,4.762549069020655,"[0.335788756608963, 0.3088628649711609, 0.27674227952957153, 0.24173331260681152, 0.1965842843055725, 0.1430823802947998, 0.08710817247629166, 0.0380847193300724, 0.007302270270884037, 0.00017361690697725862]","[0.21390850841999054, 0.18598014116287231, 0.15586885809898376, 0.12548783421516418, 0.09398269653320312, 0.06203745678067207, 0.0341171957552433, 0.013701526448130608, 0.0025483029894530773, 5.8395886298967525e-05]"
27,2021-01-14 02:35:43.942958,39,2.8139769025470898,4.925653652711348,"[0.33124953508377075, 0.3069247603416443, 0.2771316170692444, 0.23883357644081116, 0.19418323040008545, 0.14523425698280334, 0.08856663107872009, 0.039116133004426956, 0.008128082379698753, 0.00022388878278434277]","[0.21425282955169678, 0.19029314815998077, 0.16196051239967346, 0.13283249735832214, 0.09957832098007202, 0.06767807900905609, 0.038945797830820084, 0.015286828391253948, 0.003164577530696988, 9.285076521337032e-05]"
8,2021-01-14 02:35:54.487694,80,2.647117024244264,4.664211214362801,"[0.44220852851867676, 0.41406482458114624, 0.3793850243091583, 0.3368402421474457, 0.2824347913265228, 0.2166602909564972, 0.14562144875526428, 0.07061352580785751, 0.015535742044448853, 0.0005447852308861911]","[0.253282368183136, 0.22220531105995178, 0.18894743919372559, 0.15031297504901886, 0.11309702694416046, 0.07544147223234177, 0.041748106479644775, 0.01882511004805565, 0.004085171967744827, 0.00014244011254049838]"
29,2021-01-14 02:45:52.811402,33,2.645889333711154,4.725567285116616,"[0.34535306692123413, 0.3176013231277466, 0.285304993391037, 0.24449148774147034, 0.19667969644069672, 0.1391948014497757, 0.07972855120897293, 0.03292185813188553, 0.006047357805073261, 0.00012647965922951698]","[0.22409160435199738, 0.1963278353214264, 0.1668139547109604, 0.13192275166511536, 0.09526614844799042, 0.06332260370254517, 0.03396424651145935, 0.012232383713126183, 0.0019089564448222518, 0.0002109929482685402]"
8,2021-01-14 02:46:24.499718,81,2.612998430581056,4.639250002898179,"[0.4390985369682312, 0.4095732271671295, 0.37569335103034973, 0.33330556750297546, 0.2811412811279297, 0.21636223793029785, 0.14534014463424683, 0.06820733845233917, 0.015185643918812275, 0.0004246113821864128]","[0.25453853607177734, 0.22281663119792938, 0.18840572237968445, 0.15328635275363922, 0.11681034415960312, 0.07705354690551758, 0.04588690400123596, 0.019877852872014046, 0.004028676077723503, 0.00013325766485650092]"
27,2021-01-14 02:49:34.693035,40,2.7969167622967044,4.93802438153849,"[0.33172091841697693, 0.30577149987220764, 0.2735600471496582, 0.23541602492332458, 0.19322767853736877, 0.14198236167430878, 0.08658907562494278, 0.039787162095308304, 0.008949102833867073, 0.0003728927986230701]","[0.2146136462688446, 0.18827588856220245, 0.15954892337322235, 0.12672114372253418, 0.09722145646810532, 0.06671424210071564, 0.03868700563907623, 0.01510887872427702, 0.0024115131236612797, 0.00015932923997752368]"
